Group	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15	SP16	SP17	SP18	SP19	SP20	SP21	SP22	SP23	SP24	SP25	SP26	SP27
Control	0	0	0	0	0.000104584	0	0.000234228	0.002089713	0.000623776	0.000474273	0.037220829	0.034196286	0.029116715	0.048358905	0.001529827	0.002483936	0.000686663	0.028688394	0.013713424	0.001193665	0.001470796	0.014764465	0.000965277	0.007084383	0.012426587	0.001319967	0.003504963
Control	1.22E-05	0	1.20E-05	0	0.000203655	0	0.006499076	0.001787271	0.004386851	0.000754852	0.013458044	4.80E-05	0.010515975	0.009422417	8.26E-06	0.005038026	0.072568166	0.009506313	0.003766149	0.001451289	0.001162755	0.002856234	0	0.000552233	0.000608385	0.002973226	0.002382704
Control	0	0	0	0	7.80E-07	0	0.008910638	0.000807754	0.000505474	0.000442157	0.047681851	0.003187814	0.011035564	0.034971068	3.02E-06	0.003316416	1.22E-05	0.003717889	2.45E-05	0.001240002	0.001792764	0.07196057	1.43E-05	8.65E-06	0.004815376	0.000373324	0.005538602
Control	1.14E-05	0	0	0	0	0	0	0.039020806	0.005448879	0.045710914	0.048000824	0.000260789	0.018530065	0.047635952	0	0.007206562	3.64E-05	0.017536393	5.13E-05	0.007896199	0.020516933	0.00860968	0.02393937	0.003965861	0.004177044	0	0.005405959
Control	0	0	2.31E-05	0	7.44E-05	1.29E-05	2.59E-05	0.014542325	0.010899849	0.002668002	0.028825213	0.081551933	0.047637982	0.051023073	0.000370664	0.010606352	0.003985232	0.008243223	0.011542574	0.003547122	0.002564449	0.004445215	6.89E-05	0.001071181	0.000483775	0.010849337	0.005745987
Control	0	1.28E-06	1.00E-05	0	0	0	5.20E-05	0.018603865	0.006869903	0.014951539	0.014862175	0.014631212	0.011680826	0.017685134	0.004647375	0.010217424	0.035445633	6.46E-05	0.011332009	0.001126888	0.002885667	0.014863275	0	4.91E-05	0.001612917	0.008808252	0.000818208
Control	0	0	0	0	0	0	0.01381156	0.000895031	0.001056361	0.000994882	0.067130425	0.001924647	0.03693027	0.019750711	0	0.001405657	0	0.016767213	0	0.009236677	0.008032244	0.004656944	8.42E-06	0.002519852	0.016980898	0	0.003312097
Control	0	0	8.11E-06	0	0.000112294	0	0	0.083901257	2.76E-05	0.001689107	0.105416178	0.086305962	0.043152678	0.132833142	0.000184329	0.041972512	0.000368405	0.006372392	2.96E-05	0.029929128	0.020162936	0.026813458	2.43E-05	0.010367613	0.004469949	4.81E-05	0.005748933
Control	0	0	1.68E-05	0	0	0	0	0.01616491	0.008608751	0.000230384	0.003010349	0.000223075	0.00396341	0.000464712	0.028269132	0.00818557	4.60E-05	2.68E-05	1.15E-05	0.001646417	0.004186242	0.003220178	0.000114936	0.015901669	0.000137683	0.00705003	0.039191456
Control	0	0	0	0	0.000338215	0	0.009901915	0.003756165	0.000434738	0.000256824	0.050190553	0.000683116	0.05243247	0.000346819	0.058443314	0.002735183	1.67E-05	0.000220977	6.88E-06	6.50E-05	0.025931948	0.006402936	1.34E-05	0.002478459	0.004445236	0.005865326	0.000616055
Control	0	0	0	0	7.26E-05	0	0.002593607	0.001768882	0.000820523	0.063507003	0.037494968	0.006518097	0.00693689	0.010250718	0.036914908	0.001001808	0.011746813	0.001332164	0	0.008233856	0.001055672	0.00148644	5.69E-06	2.98E-05	0.00469508	0.001168386	0.001902304
Control	0	0	0	0	0.000115813	6.90E-05	0.005362932	0.007174637	0.003353263	0.000998779	0.05287756	6.30E-05	0.020632263	0.005600207	3.07E-06	0.016124104	9.12E-06	0.020314545	5.63E-06	0.003930391	0.000181881	0.032794372	0	0.009390272	0.002922459	2.54E-05	0.006026496
Control	0	0	0	0	0	0	0	0.008310715	0.000541745	9.60E-05	0.012282271	0.069342099	0.012702729	0.007232402	7.46E-06	0.021978729	9.06E-05	0.001854389	0.042800252	0.003979491	0.000766983	0.001191541	0	0	0.000496066	0.096392836	0.005317966
Control	0	0	0	0	2.65E-06	1.64E-06	0	0.005467554	0.005607492	0.000472628	0.015204784	0.020679653	0.009009221	0.04197952	5.49E-05	0.00912738	1.12E-05	0.0065231	0.010765752	8.78E-06	0.008735438	0.012962149	0	0.000294905	0.000939996	0.001833884	0.001681072
Control	0	0	0	0	0	0	0.00984439	0.041361627	0.001077471	0.00680469	0.027368815	2.88E-05	0.003442694	0.032977199	1.48E-06	0.011086189	3.84E-05	0.009315632	1.30E-05	0.006057393	0.006494935	0	1.56E-05	0.001618193	0.003596965	4.91E-06	0.000856127
Control	0	0	3.31E-06	0	3.51E-05	0	5.62E-06	0.03181801	0.012859519	0.000348179	0.005004228	0.180924487	0.001417058	0.043769756	3.25E-06	0.022093472	0.008452509	0.000521263	8.94E-06	0.000347462	0.001128379	0.00837671	3.37E-06	0.002218951	9.06E-05	0.000422356	0.000765253
Control	0	0	0	0	0	0	2.38E-05	0.000421172	0.003687477	0	0.162732936	0.008593605	0.041247788	0.009764693	0.000215291	0	0.001016227	0.001088541	0	0.012803423	0.004388396	0.00015285	0	0.005036753	0.006814284	1.53E-05	0.004154495
Control	0	0	0	0	0	0	9.44E-06	0.00144597	0.000475055	7.09E-06	0.008719486	0.002177386	0.007555579	0.000209803	0.035581803	0.00039195	0.003038132	0.017421626	0.0013684	0.00171332	0.015933913	0.000911929	0.000182439	0.000697321	0.000282639	7.31E-05	0.002845366
Control	0	0	0	0	0	0	3.19E-06	0.000700541	0.000617216	0.000542668	0.020206913	0.10212946	0.028472362	0.033240859	3.98E-05	0.000598008	0.001378866	0.011297934	0.020969664	0.002603813	0.000947173	0.033746057	0.000324446	5.04E-05	0.002479736	0.000258906	0.004019032
Control	0	0	0	0	7.68E-06	0	1.49E-06	0.005784953	0.018715396	0.000234939	0.000301838	0.200121849	0.000565787	6.40E-05	0	0.012206657	7.09E-05	4.60E-05	3.32E-05	0.000202391	0.001205278	1.32E-05	0	0.014996266	2.15E-06	0.266170611	1.20E-05
Control	0	0	3.77E-05	0	0	0	0	0.036543713	3.35E-06	0.000179128	0.131432833	0.048436648	0.062747059	2.16E-05	0	0.000303148	6.87E-05	0.008123411	0	0.026242529	0.012376557	4.50E-06	0	0.008297096	0.021938135	0.001408962	0.000501723
Control	0	0	3.91E-05	0	1.16E-05	0	0.000709579	0.104123192	0.011419333	0.005347871	0.013088179	9.49E-05	0.005209021	0.015963057	2.05E-05	0.018371744	0.000204797	0.001307755	7.63E-05	0.001009875	4.10E-05	0.000687376	4.67E-06	0.000992541	0.001639438	0.000183354	0.000143134
Control	0	0	0	0	0	0	0.005078451	0.006279317	0.000775824	0.000340549	0.028584617	0.008111433	0.008557698	0.038994461	0	0.001636644	0.00674138	0.001883511	0.020238298	0.002025861	0.001604786	0.001618961	0.129167076	0.000348274	0.001243479	0.006044676	0.009178505
Control	0	0	9.32E-06	0	0	0	0	0.002117431	0.001617565	0.000347044	0.008816909	0.001103883	0.003691779	0.040762712	0.142306296	0.000372994	0.00301093	0.009217911	0.013835042	0.002629031	0.006179083	0.004959524	0.003893235	0.000791639	0.000520181	0.00077467	0.008826053
Control	9.89E-06	0	1.30E-05	0	1.88E-05	0	0.004402282	0.005392168	0.001887442	0.000359083	0.047036411	0.051568885	0.038413326	0.038241171	4.30E-06	0.000652759	0.003999461	0.014334476	0.004728049	0.005844732	0.002679041	0.018626268	0.048176202	8.38E-06	0.015852036	0	0.010230895
Control	0	0	0	3.41E-06	9.88E-06	0	0	0.033137591	0.007382345	0.003682278	0.016596924	0.151556756	0.002316295	0.000141159	0.013894881	0.041639175	8.13E-05	0.019133655	1.98E-05	0.004563821	0.012693534	0.018611347	7.00E-06	0.007659981	0.000697004	7.25E-06	0.008091884
Control	0	0	1.09E-05	0	0	0	0	0.008092714	0.002598792	0.001794354	0.032862419	3.81E-05	0.013100505	0.044787116	2.33E-05	0.007369542	0	0.013228006	8.35E-06	0.001887792	0.006229023	0.012639863	0.099224609	0.000247479	0.001531025	0.002252699	0.009632156
Control	0	0	0	0	4.07E-06	0	4.47E-06	0.034732112	0.010378313	0.002465546	0.002624429	4.11E-05	0.007622018	0.008430432	3.79E-05	0.166682579	0.070901672	0.000739752	0	0.000497548	0.001030976	8.15E-06	8.98E-06	0.018312876	0.001461323	0.000487827	0.000781003
Control	0	0	5.52E-05	0	0	0	1.50E-05	0.001327318	7.10E-05	7.80E-05	0.022936147	2.77E-05	0.004668556	0.000212627	0.001459722	0.001585768	0.007213387	1.08E-05	0.164007339	0.04060034	0.003234659	0.000368757	5.16E-05	0.009443735	0.003467224	0.002524878	0.000504897
Control	0	0	0	1.93E-06	2.97E-05	0	0	0.013744895	0.001952559	0.00145435	0.062853725	1.06E-05	0.027610718	0.083194552	4.42E-06	0.010855444	0.008116373	0.020994493	0	8.41E-06	0.031388748	0.02943753	0	0.000320328	0.002098204	4.47E-05	0.004943984
Control	0	0	0	0	0	0	0	0.028044661	0.000548272	0.002009073	0.022961521	0.062473014	0.007401966	0.057946752	3.05E-06	0.034774795	0.001534765	0.019356687	3.18E-06	0.006339758	0.019314519	0.000275841	7.20E-06	0.007156029	0.013114184	0.045848893	0.011720631
Control	0	0	1.81E-06	0	3.73E-06	0	2.07E-06	0.002450287	0.000750729	0.001496833	0.011510562	0.000245136	0.006088025	0.000114617	2.07E-05	0.011804198	0.000426356	0.002342312	0.036838804	0.000283285	0.005682326	0.01503444	0.060058037	0.003230387	0.000294091	0.000893374	0.000169116
Control	0	0	3.44E-05	0	4.91E-05	0	0	0.051333068	0.005055254	0.001006078	0.158664297	0.001039147	0.000242134	6.38E-05	8.57E-05	0.07887185	0.002005951	0.014542291	2.41E-05	0.038015467	9.39E-06	2.95E-05	9.88E-06	0.030575887	0.040888512	2.39E-05	2.07E-05
Control	0	0	0	0	9.90E-05	0	0	0.047318078	0.00834136	0.001607232	0.007726136	0.082121429	0.00271585	0.013261735	0	0.01407031	0.000306747	0.001960059	1.11E-05	0	0.011638147	0.049022039	1.15E-05	0.003836284	0.000526038	0.005544423	0.001492658
Control	0	0	5.85E-06	0	0.000304913	0	2.25E-05	0.021629322	0.020622569	0.001535837	0.16559021	0.040127137	0.010756133	0.002123247	0.000111471	0.034424469	0.006783928	0.000424753	0.000462695	0.010437422	0.011852769	0.007168317	3.11E-05	0.018409805	0.030144845	0.001053452	0.001585262
Control	0	0	0	0	1.86E-05	0	0.007841261	0.002291858	0.001473843	9.66E-05	0.03809153	0.020365449	0.015502919	0.017198293	0.000582969	0.011296576	9.67E-05	0.003705847	0.001609426	0.004321314	0.007305134	0.014699366	0.01060942	0.004924139	0.001645133	0.000474766	0.001431099
Control	3.33E-06	0	6.14E-06	0	2.06E-05	0	1.75E-06	0.01293078	0.004092424	0.028252036	0.027819458	0.050975295	0.017877534	0.027720904	0	0.017146048	0.009002589	0.011660076	0.004251733	0.001826321	0.031425052	0.02482377	5.65E-06	0.002099379	0.021947195	0.0033553	0.000405975
Control	0	0	0	0	0.000368589	0	0.004392755	0.037191325	0.008880295	0.025060607	0.032722406	1.05E-05	0.0295931	0.004071685	0.002047296	0.115407048	0.00554698	0.001623879	6.06E-05	0.006865508	4.00E-05	0.000415905	0	1.89E-05	0.001778121	0.000791023	0.008383182
Control	2.98E-05	5.20E-06	0	4.13E-06	5.30E-05	0	0.01612041	0.00544877	0.001051959	0.000147985	0.142924883	0.016636954	0.086595755	0.002087469	2.24E-05	0.00034084	4.11E-05	0.012225169	0.000292218	0.01426894	7.58E-05	2.63E-05	0.000111394	0.064631985	0.005355232	6.12E-05	0.005758533
Control	0	0	0	0	4.88E-06	0	9.63E-06	0.007179908	0.001570687	0.00033051	0.003550139	0.003590898	0.003173337	0.017807121	0.121786629	0.002167948	0.000189395	8.39E-05	0.01138646	0.000106712	0.001010189	0.020766253	0.046653889	3.01E-05	0.000196963	0.000268208	0.006776457
Control	0	0	7.87E-06	0	1.77E-05	0	0	0.015313537	0.008982357	0.007086657	0.071148125	0.093803251	0.013337718	0.052765468	1.71E-05	0.02946854	2.81E-05	1.40E-05	1.06E-05	0.004369833	0.01860753	0.016523496	1.03E-05	3.63E-05	0.021054435	0.013504152	0.051033998
Control	0	0	0	0	0	0	0	0.033671787	0.105351508	0.001415208	0.000305283	0.003779599	0.000159361	0.003240639	6.70E-05	0.00423471	2.40E-05	0	2.23E-05	3.84E-05	5.41E-05	0	0	0.100526201	7.17E-05	0	1.92E-05
Control	0	0	6.23E-06	0	0.000425621	0	3.50E-06	0.018985862	0.004397495	0.002622184	0.044755685	0.064304429	0.034634832	0.050260346	0	0.012310481	0.001179324	0.019218827	0.003450614	0.003635829	0.022874677	0.003651131	3.17E-06	0.033366209	0.004970989	9.02E-06	0.003695886
Control	0	0	0	0	0	0	0.006159268	0.002380802	0.002625643	0.000113309	0.022587315	0.033225168	0.006267715	0.011238795	5.68E-05	0.002251345	0.000245455	0.00427987	0.005864181	0.002983898	0.001914349	0.007561717	0.100737621	0.00034411	0.000703403	0.001534415	0.018527165
Control	0	0	0	0	0	0	0	0.019503477	0.006016071	0.001867775	0.010641501	0.022840416	0.003529876	0.058458416	0.051179376	0.009172621	0.000382199	0.009826276	0.004475242	0.000204261	0.002190125	0.005897363	0	2.59E-05	0.001343566	0.007613724	0.009222469
Control	0	0	1.49E-05	0	0.000190963	0.000107011	0	0.01228471	0.014321145	0.000420894	0.026127013	6.55E-05	0.019431982	0.115186881	2.17E-05	0.019521519	0.004300354	0.000104859	0.000165076	0.00432954	0.008262563	0.000123297	0	0.005609675	0.025121521	0.028248951	0.008231078
Control	9.81E-06	0	3.15E-05	0	0	0	0.003592696	0.008667906	0.005035127	0.07561035	0.003192895	0.003151922	0.00456829	0.046087822	0.095984847	0.001514148	0.001453397	0.010821975	0.000611365	5.99E-05	0.018666368	4.63E-05	0	0.007161438	0.000602979	0.000112366	0.002128843
Control	0	0	3.65E-05	0	0	0	7.10E-06	0.007544571	0.000500641	0.000816661	0.091709906	0.041783068	0.047837542	0.047584487	0.000349025	0.003470314	5.31E-05	0.011399278	0.000107535	4.01E-05	0.004295033	0.007070968	0.000149695	0.007210815	0.002565682	0.001105192	0.017869356
Control	0.000108267	9.66E-06	2.57E-05	0	3.38E-06	0	0	0.003659989	0.00130621	0.004603683	0.134632585	1.07E-05	0.01244094	0.07089714	3.84E-05	0.001308849	0.005901091	9.69E-06	8.41E-06	0.002083668	0.002331774	1.06E-05	0	0.001082001	0.000351384	0.004212437	0.001419756
Control	0	0	3.90E-05	0	5.65E-06	0	0	0.087417162	0.002027679	0.001165862	0.163283396	0.000205138	0.004327243	0.003854815	6.33E-06	0.016180522	0.012599362	2.27E-05	0.000125436	0.004388538	1.57E-05	3.40E-05	0.000276972	0.000135584	0.03385841	4.97E-05	2.32E-05
Control	0	0	0	0.0001591	3.99E-05	0	0.007527895	0.008611101	0.003279819	0.000337858	0.015732301	0.000662297	0.028215888	0.004158698	0.078671452	0.001354341	0.074664563	0.023164477	3.65E-05	0.011631217	0.018120162	0.019491951	0.123046586	0.005328928	0.001270478	0.00532978	0.01286458
Control	0	0	2.18E-05	0	0	0	0	0.022002102	0.024106385	0.000249195	0.043057463	0.085131454	0.034641764	0.026675802	5.00E-05	0.004146726	0	0.007566456	1.48E-05	0.000930082	0.007203874	0.007766661	1.12E-05	0.001989815	0.001765426	0.005779405	0.012236699
Control	0	0	0	0	1.56E-05	3.31E-05	0.006166309	0.01317219	0.005619343	0.000214626	0.078413705	0.02393087	0.080117024	0.035575795	2.04E-05	0.007620892	0.004799857	0.033581633	0.009798005	0.007459905	0.005399089	0.009548061	0.009138239	6.67E-05	0.006227802	0.001183464	0.024115164
Control	0	0	0	0	0	0	0	0.015402761	0.002771608	0.018550562	0.009291003	0.157215712	0.008939364	0.007091123	0	0.006554837	0	0.001024134	0.009598108	0.002638138	0.003689419	0.039327312	0	0.00389308	0.001078057	0.032911554	0.001450187
Control	0	0	0	0	2.94E-06	0	2.98E-05	0.012294288	0.004583586	0.001889452	0.018445053	0.00010254	0.024840726	0.00409754	0.000105137	0.005773671	5.59E-05	0.000207856	1.98E-05	0.002390025	0.015652722	0.011655165	0	7.40E-06	0.000212635	0.004770755	0.018559343
Control	0	0	3.05E-06	0	0	0	0.002982056	0.006307212	0.002977206	0.000504455	0.020008906	0.03698485	0.004602803	0.038531466	7.16E-06	0.002832712	0.000469097	6.47E-05	0.008432819	0.003003755	0.009372457	0.000475564	2.66E-05	0.002122042	0.006849864	0.002526857	0.005771704
Control	0	0	2.08E-05	0	0	0	0.00357086	0.003975156	0.005111354	0.000648843	0.029893121	0.039466506	0.003725667	0.006410052	3.75E-06	0.003183222	0.000262754	0.001851512	0.000108674	0.001285014	0.003808156	0.010767381	0.026798228	0.001680851	0.000865916	0.001830207	0.017789689
Control	0	0	1.26E-05	0	4.06E-05	4.46E-06	0.009384455	0.010604637	0.0020911	0.00148799	0.009050178	0.002763033	0.009112496	6.48E-05	0.068865097	0.002387438	0.00043679	0.000913462	0.00698794	0.002266011	0.001513714	0.017794156	9.23E-06	5.94E-05	0.0008227	2.72E-05	0.007599986
Control	0	0	6.63E-06	0	0	0	0.010515965	0.008784057	0.004220916	0.000909792	0.021677742	0.034708802	0.004738901	0.004842593	0.062422641	0.028872711	0.000119197	0.011921131	0.005976487	0.005859183	0.014604582	0.009350525	5.65E-05	0.001463737	0.002962544	0.000272823	0.00163455
Control	0	0	0	0	0.000140527	0	0	0.016894904	0.011421949	0.002885784	0.047513971	0.16551883	0.023182581	5.76E-06	5.79E-06	0.02115744	0.00282022	0.007228314	0	0.001918778	0.00043617	0.012938523	3.69E-06	0.010312055	0.008513855	0.019498696	0.015513359
Control	5.39E-06	0	0	0	4.16E-06	0	0.007763291	0.002629647	0.000292844	0.000307434	0.04291719	0.008400799	0.007393739	0.017688545	0.015945874	0.000150456	0.034731192	0.010787931	0.005339181	0.034654048	0.001562074	0.026929274	0	0.000145272	0.000113594	0	0.000740016
Control	0	0	5.63E-06	0	0	0	6.32E-06	0.065694405	0.010065846	0.002641059	0.05760336	9.63E-05	0.080861663	0.067891453	0	0.017422962	0.000124551	0.014754559	0.000323921	4.29E-06	0.02784514	4.96E-06	2.86E-06	0.012550694	0.00257464	0.000876407	0.001139451
Control	8.83E-06	0	1.29E-05	0	4.04E-06	0	0	0.055518649	2.79E-05	0.000212206	0.043558293	0.075622571	0.036607015	6.65E-05	7.55E-05	0.008452146	2.35E-05	7.90E-06	2.71E-06	0.019086371	0.000965681	0.024562952	3.20E-05	0.000283014	0.009931163	0.009227608	0.006093962
Control	2.41E-06	2.41E-06	0	0	4.16E-05	8.89E-06	0.000932211	0.003296466	0.001044997	1.57E-05	0.03220256	4.27E-05	0.01187423	1.08E-05	0	0.009523644	0.030982549	0.002207089	0.027890108	0.006183599	0.004479068	0	0	0.000390405	0.000891721	0.001497565	0.000172113
Control	0	0	7.12E-06	0	0	0	0	0.001139775	0.000475412	0.000499996	0.114681254	0.013300534	0.017371077	0.033304271	7.71E-05	0.001101352	0.000225535	0.008981185	0.001462043	0.006355521	0.002802384	0.015566647	0.160080267	7.41E-05	0.000576293	0.000638318	0.005487988
Control	0	0	0	0	0	0	0	0.02332317	0.017710484	0.003441235	0.015046293	0.128827571	0.068538823	0.08690509	0	0.046608247	0	0.005168762	0.000699774	0.006353277	0.001738989	0.008315681	1.58E-05	0.010567874	0.003192347	0.004540069	7.47E-05
Control	0	0	2.23E-05	0	0.000111318	0	2.46E-05	0.001678285	0.000688094	0.001723865	0.022459055	0.030816538	0.005963773	0.009943479	0.025515479	0.000593554	0.006597304	0.029075891	2.45E-05	0.006835805	0.008386735	0.027519097	0.016167312	0.000147244	0.000359028	0.001069215	0.002744816
Control	0	0	4.60E-05	0	0.000776221	0	0	0.023194252	0.008549183	0.00511027	0.130517298	0.051357947	0.045414504	0.036997967	4.19E-06	0.017398472	0.053542311	2.26E-05	4.55E-06	0.011515578	0.000126395	0.004901808	0	0.005157052	0.054581355	0.018077017	0.002399605
Control	0	0	1.17E-05	3.54E-05	1.05E-05	0	0	0.029075856	0.007294956	0.061799939	0.00847872	0.032741215	0.030710911	0.013874767	6.41E-05	0.005344302	0.008470749	0.003537864	0.002508128	0.000677368	0.003184471	0	2.97E-06	0.001756227	0.000730025	0.008804341	0.001455557
Control	0	1.57E-05	2.70E-05	0	0	0	0	0.006426272	0.00237007	0.000367211	0.001469665	0.00868749	0.001943395	0.004157006	0.03576758	0.00522066	0.000385434	0.004872634	0.00696094	0.000859853	0.008652716	0.023574811	0.005347422	0.00052243	0.000169149	0.002812773	0.015936338
Control	0	0	0	1.17E-05	0	0	0.001164243	0.045317548	0.001201031	0.000535027	0.005385658	0.104470567	0.028016143	0	0.007935145	0	0	0	0	0.033382431	2.11E-05	0	0	0.025199586	0.013521623	0.023164139	0.023872236
Control	0	0	0	0	2.57E-06	0	1.14E-05	0.00264518	0.005215729	0.000183488	0.010489867	0.00888299	0.012384064	0.000809152	0	0.005343097	7.12E-05	0.002219196	0.031804932	0.000502991	0.004453084	0.002048911	2.59E-05	4.45E-05	0.0001445	0.001932207	0.001016651
Control	0	0	0	0	0	0	0	0.044049009	0.014235336	0.001198638	0.082927401	2.15E-05	0.033330015	0.186009812	7.37E-06	0.01839469	0.009286795	5.21E-05	3.59E-05	0.006744313	0.008619604	7.58E-06	0	0.000129375	0.00692776	0.002389848	0.021569151
Control	0	0	0	0	1.76E-06	0	0	0.007519269	0.002440075	0.000731909	0.053981072	0.070535917	0.068914277	0.049608882	1.28E-05	0.010354782	0.008504628	0.010535401	0	0.003643625	0.019745019	0.008906054	0	0.004280948	0.00271762	0.019600065	0.009529173
Control	0	0	0	0	0.001307167	0	2.90E-06	0.022460743	0.02234996	0.002350019	0.038840112	0.089375281	0.010174595	0.000649913	0	0.02865666	0.003567791	0.000412962	0.000126025	0.010319066	0.010675418	1.30E-05	0	3.25E-05	0.002256595	0.008257098	0.000506174
Control	0	0	1.76E-05	0	0	1.95E-06	0.000536958	0.007908233	0.004551302	0.001428354	0.003949916	0.044954702	0.005518975	0.016105001	2.89E-06	0.004811576	0.006435751	0.000653719	0.032698203	0.001131446	0.001845788	0.007043311	0.059364341	0.003621109	0.00010796	0.005548566	0.00060892
Control	0	0	0	0	0	0	0.010166319	0.003766563	0.001661879	0.000650622	0.015431615	0.004818811	0.001025025	0.017730613	0.236276108	0.000291394	5.36E-05	0.006366066	5.58E-06	0.001043441	0.012958285	0.002309333	0	0	0.000982606	0.00761081	0.009511625
Control	0	0	4.47E-06	0	4.41E-06	0	0.006515406	0.001873249	0.001285704	0.00010282	0.078529008	0.003702734	0.01418915	0.020477716	1.99E-05	0.006784242	7.32E-05	0.003424792	8.25E-06	0.002497693	0.002000895	0.008240432	1.72E-05	4.50E-05	0.002473265	0.000275526	0.010351808
CRC	9.43E-05	0	0.002454976	0	6.51E-05	0	0	0.005009195	0.001203964	0.000118365	0.126227205	0.001377757	0.0566791	0.038225722	0	0.003421063	0.002413325	0.019850583	0.000515118	0.014484407	0.004646785	0.004318316	0.00261219	0.019325627	0.006343978	0.000240715	0.00531998
CRC	0	0	4.40E-05	1.29E-05	0.001780303	0.000178883	1.69E-05	0.00052644	0.000179395	0.000735517	0.01496131	0.036684783	0.005109158	0.00118296	7.60E-05	0.001276081	0.028773103	0.001991111	0.144819975	0.001074267	0.000360565	0.000557372	0.000413392	0.001469311	0.004100029	1.44E-05	4.44E-05
CRC	0	0	0.000295746	7.09E-06	2.57E-06	0	2.27E-06	0.002480815	0.002026078	1.16E-05	0.008039348	0.021067399	0.046296548	0.022975217	1.52E-05	0.000206215	0.013848534	0.011841754	0.010346999	0.013190258	0.020802072	0	0.000168025	0.009262819	0.00034353	0.019484721	0.0018944
CRC	0	0	0	0	0	0	7.34E-05	0.008984541	0.008929597	0	0.057355992	0.106906319	0.016143781	0.008380287	0.000574303	0.002418373	0	0.000466949	0.002442698	0.004797761	0.000247365	0.001213693	0.000376536	0.016054562	0.028193135	0.000309994	0.001517791
CRC	0	0	0.003895094	0	0.001786896	0	3.20E-06	0.001408922	0.0009106	0.002005319	0.046695604	0.032014225	0.003595142	0.000336831	0	0.006897361	0.000913168	0.000264974	0.062207581	0.009499613	4.94E-05	0.007453238	0	0.001968514	0.000371999	0.003569356	9.58E-05
CRC	4.33E-06	1.57E-05	0.002027415	0	0.002398776	0	3.75E-06	0.000527364	0.000698571	0.002580604	0.038833005	0.003213262	0.158250183	0.007862502	8.93E-05	0.001449962	0.003351793	0.021297431	0	0.008179934	0.017168592	0.002916833	0	0.001650377	0.004902601	7.29E-05	0.015966161
